Seite(n),Requisit,Charakter,Notizen,Tag,C,Quelle,Status,Benutzt,Änderbar,Bild
,Arztkoffer,Jack Seward,,Taschen & Koffer,No,Staatstheater,erhalten,Yes,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9299.png
,Becher bei Wirtin,Wirtin,,Essen & Trinken,No,Spende,erhalten,Yes,No,
,Beistelltisch,Scenery,am Sofa,Möbel,No,Ausleihe,erhalten,Yes,No,
,Belly Dance Wings,Vampirellas,für Draculas Verwandlung,Accessoires,No,Gekauft,erhalten,Yes,No,
,Bettbezug,Scenery,"Lucys Bett. muss zum ""Käfig"" passen",Textilien,No,Gekauft,fehlt,Yes,No,
,Bierbänke,Scenery,"verkleidet, mit Sitzkissen. für die Zugsequenz",Möbel,No,Ausleihe,reparatur,Yes,No,
,Blumenanstecker,Jonathan Harker,,Floristik,No,Produziert,erhalten,Yes,No,
,Blumenanstecker,Arthur Holmwood,,Floristik,No,Produziert,erhalten,Yes,No,
,Bolo Tie,Quincey Morris,,Schmuck,No,Gekauft,erhalten,Yes,No,
,Bowie-Messer,Quincey Morris,mit Hülle,Waffen,No,Produziert,erhalten,Yes,No,
,Brautstrauß,Mina Murray,,Floristik,No,Staatstheater,erhalten,Yes,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9304.png
,Brautstrauß,Lucy Westenra,,Floristik,No,Gekauft,erhalten,Yes,No,
,"Deckchen, Servierwagen",Scenery,,Textilien,No,Spende,erhalten,Yes,No,
,"Decke, runder Tisch",Wirtin,,Textilien,No,Ausleihe,erhalten,Yes,No,
,Deko Insekten,Renfield,,Diverse,No,Produziert,erhalten,Yes,No,
,Dokumentmappe,Jonathan Harker,"Inhalt: Briefpapier und Briefumschlag, Dokumente, Schreibblock",Papierwaren,No,Produziert,erhalten,Yes,No,
,Drahtbrille,Jack Seward,,Accessoires,No,Ausleihe,erhalten,Yes,No,
,Echtes Essen,Scenery,"am Tisch fixierbar. teilweise essbar, wonach man noch singen kann.",Essen & Trinken,Yes,Gekauft,fehlt,Yes,No,
,Esstisch,Scenery,,Möbel,No,Staatstheater,erhalten,Yes,No,
,Feder und Tintenfass,Jonathan Harker,wird nicht benutzt,Schreibgeräte,No,Staatstheater,erhalten,No,Yes,"Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9316.png, Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9315.png"
,Federmäppchen aus Holz,Jonathan Harker,,Schreibgeräte,No,Produziert,erhalten,Yes,No,
